[7, 3, 7, 22, 10, 3, 24, 28, 4, 11, 12, 33, 26, 36, 24, 24, 4, 18, 3]
[5, 4, 3, 8, 34, 9, 30, 4, 4, 0, 10, 4, 26, 28, 14, 0, 33, 6, 16]
[5, 1, 38, 27, 36, 13, 16, 23, 38, 25, 22, 9, 33, 25, 24, 15, 21, 34, 2]
[1, 30, 35, 7, 8, 10, 3, 4, 12, 28, 30, 3, 15, 8, 30, 6, 2, 32, 9]
[4, 34, 33, 33, 4, 10, 33, 1, 24, 6, 28, 0, 36, 2, 7, 5, 10, 8, 12]
[15, 6, 0, 3, 16, 11, 6, 1, 31, 37, 10, 17, 9, 1, 19, 9, 27, 25, 10]
[7, 2, 13, 8, 30, 7, 33, 38, 6, 30, 31, 28, 12, 0, 8, 3, 10, 12, 1]
[9, 17, 13, 13, 13, 19, 38, 25, 4, 21, 22, 4, 36, 35, 1, 5, 34, 24, 8]
[32, 0, 39, 37, 20, 19, 5, 0, 25, 32, 9, 16, 32, 10, 35, 9, 16, 33, 20]
[14, 31, 1, 6, 27, 9, 2, 38, 15, 0, 17, 24, 28, 33, 6, 23, 33, 7, 33]
[6, 19, 5, 14, 16, 9, 27, 16, 36, 9, 17, 5, 35, 7, 13, 37, 28, 2, 12]
[30, 16, 23, 26, 15, 4, 5, 10, 18, 38, 36, 1, 15, 20, 12, 9, 22, 13, 33]
[7, 28, 33, 26, 4, 9, 14, 20, 3, 14, 21, 22, 38, 7, 11, 2, 20, 8, 6]
[16, 1, 37, 33, 2, 8, 21, 36, 14, 38, 0, 5, 20, 23, 7, 8, 32, 7, 7]
[4, 8, 7, 5, 13, 24, 4, 11, 13, 21, 31, 14, 5, 20, 17, 23, 9, 6, 7]
[7, 1, 29, 6, 22, 4, 24, 0, 6, 4, 30, 38, 14, 5, 14, 37, 34, 22, 30]
[1, 6, 2, 11, 20, 31, 31, 14, 21, 10, 38, 6, 10, 9, 36, 4, 5, 3, 0]
[7, 16, 34, 4, 29, 36, 5, 6, 21, 19, 11, 9, 22, 22, 15, 31, 15, 10, 12]
[5, 28, 32, 14, 16, 6, 31, 12, 5, 4, 23, 19, 31, 6, 6, 30, 18, 3, 11]
